symbol,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
IGTI11,,53387786.27,0.2428617428078676,0.808162095393696,0.808162095393696,0.0,0.7222222222222222,0.6851851851851852,1.0,0.9444444444444444,0.8287037037037037,1,A
ABCB4,,14706836.575,0.1984371617450426,0.512974255459001,0.512974255459001,5778596864.0,0.9259259259259259,0.8888888888888888,0.7407407407407407,0.5370370370370371,0.7944444444444445,2,A
LWSA3,,13579205.4,0.3831513515139712,0.5240588219923422,0.5240588219923422,2366856960.0,0.9629629629629629,0.35185185185185186,0.9074074074074074,0.5555555555555556,0.7453703703703705,3,A
QUAL3,,4913261.6,0.5223535756040085,0.5658508395873388,0.5658508395873388,658865536.0,0.9814814814814815,0.14814814814814814,0.9814814814814815,0.6111111111111112,0.7407407407407407,4,A
ANIM3,,29861702.662499998,0.6033305431932913,0.6076308550250498,0.6076308550250498,1545447168.0,0.8518518518518519,0.07407407407407407,0.9629629629629629,0.6851851851851852,0.6907407407407408,5,A
MDNE3,,32506226.409999996,0.40069442999725513,0.5060608085926618,0.5060608085926618,2039419392.0,0.8333333333333334,0.2962962962962963,0.9444444444444444,0.5185185185185185,0.6907407407407408,5,A
RECV3,,45360360.5,0.25557319011801904,0.42851483966986553,0.42851483966986553,2994232832.0,0.7777777777777778,0.6111111111111112,0.8518518518518519,0.3888888888888889,0.6851851851851851,7,A
SLCE3,,39016583.29500001,0.1861211339096446,0.35083977382507153,0.35083977382507153,7564187136.0,0.7962962962962963,0.9629629629629629,0.6481481481481481,0.25925925925925924,0.6851851851851851,7,A
TEND3,,49807786.230000004,0.4703186308610854,0.6333702924751603,0.6333702924751603,2769006336.0,0.7592592592592593,0.18518518518518517,0.8703703703703703,0.7407407407407407,0.6685185185185185,9,A
YDUQ3,,32584947.0525,0.433594014640121,0.6046707263533738,0.6046707263533738,3191640320.0,0.8148148148148148,0.2222222222222222,0.8148148148148148,0.6666666666666666,0.6666666666666666,10,A
PINE4,,4423068.6850000005,0.367317438517212,0.25070036540328333,0.25070036540328333,3138035200.0,1.0,0.37037037037037035,0.8333333333333334,0.14814814814814814,0.6620370370370371,11,A
MULT3,,105337587.72250001,0.24363547531556587,0.803115315476122,0.803115315476122,14239464448.0,0.5555555555555556,0.6666666666666666,0.5370370370370371,0.9259259259259259,0.6472222222222223,12,B
ODPV3,,23854157.88,0.27649651198993047,0.29981433272442004,0.29981433272442004,5827045888.0,0.8703703703703703,0.5370370370370371,0.7222222222222222,0.16666666666666666,0.6259259259259259,13,B
MOVI3,,50629324.00500001,0.5872090042867392,0.5994983921335048,0.5994983921335048,3218588160.0,0.7407407407407407,0.09259259259259259,0.7962962962962963,0.6481481481481481,0.6064814814814815,14,B
DESK3,,17314599.317500003,0.6366150615355363,0.16198641963960997,0.16198641963960997,2063968640.0,0.9074074074074074,0.05555555555555555,0.9259259259259259,0.07407407407407407,0.5750000000000001,15,B
MRVE3,,64607766.06,0.42766062200842647,0.5006590865150476,0.5006590865150476,4209933568.0,0.6481481481481481,0.25925925925925924,0.7777777777777778,0.48148148148148145,0.5694444444444444,16,B
CYRE3,,151062192.335,0.33474525930223953,0.7247709490549927,0.7247709490549927,9047880704.0,0.46296296296296297,0.42592592592592593,0.5925925925925926,0.8333333333333334,0.5620370370370371,17,B
ONCO3,,14205779.7225,0.9699189906209246,0.03699057304239019,0.03699057304239019,2415317248.0,0.9444444444444444,0.018518518518518517,0.8888888888888888,0.018518518518518517,0.5601851851851851,18,B
RAIZ4,,20097627.1275,0.5262797637126254,0.3698341218000795,0.3698341218000795,8791648256.0,0.8888888888888888,0.12962962962962962,0.6111111111111112,0.2962962962962963,0.549074074074074,19,B
COGN3,,92488161.58750002,0.4421763169552591,0.5840125695021761,0.5840125695021761,7243985408.0,0.5925925925925926,0.2037037037037037,0.6666666666666666,0.6296296296296297,0.5407407407407407,20,B
NEOE3,,64398106.5975,0.22431093321668236,0.32455911333186344,0.32455911333186344,38877925376.0,0.6666666666666666,0.7407407407407407,0.42592592592592593,0.2222222222222222,0.5324074074074073,21,B
EQTL3,,263636282.99750003,0.22173657044312492,0.817097851068095,0.817097851068095,47108534272.0,0.2962962962962963,0.7592592592592593,0.3333333333333333,0.9629629629629629,0.5314814814814814,22,B
BEEF3,,62793347.22,0.3901486528687657,0.24777710649902837,0.24777710649902837,5439456768.0,0.6851851851851852,0.3333333333333333,0.7592592592592593,0.12962962962962962,0.5222222222222223,23,B
