Symbol,Weight,Calmar_OOS,DD_OOS,WR_MC,DD95_MC,Trades
VIVT3,0.12104874617979523,128.23810190239078,0.8708407428876707,0.964,0.9753415742549292,8
BBDC4,0.11059685388829739,170.8129103750448,0.5973445413761953,0.999,0.7593938050363774,9
B3SA3,0.10631989092098415,120.02737885870808,0.8171990416743947,0.994,0.9392238613876895,10
PETR4,0.10469131546752801,104.67259762028178,0.9227199838624734,0.95,0.9794473037844866,6
ENEV3,0.09364621489144442,126.10264460270446,0.6851275628858411,0.997,0.8696854314961943,9
PRIO3,0.09021182530572783,118.5668598792347,0.7019388651792916,0.994,0.8430996374987636,8
EQTL3,0.07544813560682676,118.72352375617682,0.5862785686696783,0.997,0.7470695630654834,7
CYRE3,0.057462209101981195,93.9916476972836,0.5639995423856439,0.829,1.0,11
VBBR3,0.0481866338840349,80.23049796042541,0.5541252666322497,0.821,1.0,10
LREN3,0.04070663785157121,66.57626641509422,0.564093976327285,0.878,1.0,10
ITUB4,0.037606086245236606,38.52341431043824,0.9006578220192188,0.911,0.9847550510220933,8
MGLU3,0.0374346800991353,51.1538091530862,0.6751595009734267,0.759,1.0,15
RADL3,0.03159094366226406,45.95061266565327,0.6343367794697135,0.99,0.8478466495676342,10
RAIL3,0.01810853279784442,44.26285372861716,0.37740665190527006,0.992,0.6093375524132216,7
GGBR4,0.015726369539231105,24.471502001480303,0.5929257798550461,0.981,0.7859971406990197,9
BPAC11,0.011166334370635671,24.268837513073468,0.4244126805399552,0.99,0.6494834281266302,7
SBSP3,1.473962558402807e-05,0.024112763251205725,0.22233987871244987,0.886,0.22386997758159022,0
ABEV3,1.2797114536511124e-05,0.0,1.0,0.504,65.24800284509105,12
BBAS3,1.1185735128132752e-05,0.0,1.0,0.467,81.83063650371388,13
VALE3,9.867712213235559e-06,0.0,1.0,0.458,196.57319426242321,13
