DATA/HORA           | TIPO     | ATIVO  | LADO |   VOLUME |  PREÇO |     P&L R$    |   %    | MOTIVO
---------------------------------------------------------------------------------------------------------
2025-12-26 10:30:20 | ENTRADA  | LREN3  | BUY  | Vol:   20000 | Price:  13.48 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:21 | ENTRADA  | JHSF3  | BUY  | Vol:   20000 | Price:   7.92 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:21 | ENTRADA  | CSMG3  | BUY  | Vol:   10000 | Price:  44.21 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:22 | ENTRADA  | BBAS3  | BUY  | Vol:   10000 | Price:  21.51 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:22 | ENTRADA  | CMIG4  | BUY  | Vol:   20000 | Price:  11.07 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:22 | ENTRADA  | CYRE3  | SELL | Vol:   10000 | Price:  29.42 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:30:50 | ENTRADA  | CSNA3  | SELL | Vol:   20000 | Price:   9.13 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:31:07 | ENTRADA  | IRBR3  | BUY  | Vol:    5000 | Price:  55.03 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:32:08 | ENTRADA  | TUPY3  | SELL | Vol:   20000 | Price:  11.95 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:32:31 | ENTRADA  | SANB11 | BUY  | Vol:   10000 | Price:  33.76 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:38:39 | ENTRADA  | AURA33 | BUY  | Vol:    5000 | Price:  97.98 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:42:14 | ENTRADA  | TUPY3  | SELL | Vol:   20000 | Price:  12.02 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 10:42:49 | ENTRADA  | IRBR3  | BUY  | Vol:    2500 | Price:  54.54 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:00:53 | ENTRADA  | CSMG3  | BUY  | Vol:    5000 | Price:  43.84 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:28:23 | ENTRADA  | SANB11 | BUY  | Vol:    5000 | Price:  33.99 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:29:31 | ENTRADA  | SANB11 | BUY  | Vol:    5000 | Price:  34.08 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:33:28 | ENTRADA  | BBAS3  | SELL | Vol:    5000 | Price:  21.62 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:33:38 | ENTRADA  | BBAS3  | SELL | Vol:    5000 | Price:  21.63 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:33:44 | ENTRADA  | BBAS3  | SELL | Vol:   10000 | Price:  21.63 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:36:19 | ENTRADA  | CSMG3  | SELL | Vol:    5000 | Price:  43.74 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:36:27 | ENTRADA  | CSMG3  | SELL | Vol:    5000 | Price:  43.73 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:36:34 | ENTRADA  | CSMG3  | SELL | Vol:    5000 | Price:  43.72 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 11:53:58 | ENTRADA  | JHSF3  | BUY  | Vol:   10000 | Price:   7.98 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:00:38 | ENTRADA  | AURA33 | BUY  | Vol:    5000 | Price:  96.76 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:01:21 | ENTRADA  | CSNA3  | SELL | Vol:   10000 | Price:   9.07 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:01:46 | ENTRADA  | CSNA3  | SELL | Vol:   10000 | Price:   9.05 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:08:55 | ENTRADA  | JHSF3  | BUY  | Vol:   10000 | Price:   8.01 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
2025-12-26 12:13:10 | ENTRADA  | CSNA3  | SELL | Vol:   20000 | Price:   9.12 | P&L:    +0.00 R$ (+0.00%) | Motivo: Abertura de Posição
