DATA/HORA           | TIPO     | ATIVO  | LADO |   VOLUME |  PREÇO |     P&L R$    |   %    | MOTIVO
---------------------------------------------------------------------------------------------------------
2026-03-05 10:47:59 | SAÍDA    | ODPV3  | BUY  | Vol:    1200 | Price:  13.66 | P&L:  -228.00 R$ (-1.37%) | Motivo: Stop Loss | DealId: 1727061087 | Pos: 2363909202
2026-03-05 11:30:58 | SAÍDA    | RANI3  | BUY  | Vol:    1600 | Price:   9.93 | P&L:  -208.00 R$ (-1.29%) | Motivo: Stop Loss | DealId: 1727182655 | Pos: 2363908869
2026-03-05 11:30:58 | SAÍDA    | MYPK3  | BUY  | Vol:    1600 | Price:   9.80 | P&L:  -160.00 R$ (-1.01%) | Motivo: Stop Loss | DealId: 1727186195 | Pos: 2363909323
2026-03-05 11:41:05 | SAÍDA    | SMTO3  | BUY  | Vol:     900 | Price:  17.85 | P&L:  -207.00 R$ (-1.27%) | Motivo: Stop Loss | DealId: 1727230195 | Pos: 2363908784
2026-03-05 11:46:07 | SAÍDA    | TCSA3  | BUY  | Vol:   11100 | Price:   1.47 | P&L:  -333.00 R$ (-2.00%) | Motivo: Stop Loss | DealId: 1727247649 | Pos: 2364015103
2026-03-05 11:56:18 | SAÍDA    | AALR3  | SELL | Vol:    3600 | Price:   4.79 | P&L:  -684.00 R$ (-4.13%) | Motivo: Stop Loss | DealId: 1727281180 | Pos: 2364184125
2026-03-05 12:56:37 | SAÍDA    | BRKM5  | BUY  | Vol:    1500 | Price:  11.70 | P&L:  +975.00 R$ (+5.88%) | Motivo: Take Profit | DealId: 1727442775 | Pos: 2363909620
2026-03-05 13:20:44 | SAÍDA    | POSI3  | BUY  | Vol:    4000 | Price:   4.06 | P&L:  -200.00 R$ (-1.22%) | Motivo: Stop Loss | DealId: 1727505866 | Pos: 2363909031
2026-03-05 14:23:19 | SAÍDA    | RAIZ4  | BUY  | Vol:   26600 | Price:   0.60 | P&L:  -798.00 R$ (-4.76%) | Motivo: Stop Loss | DealId: 1727649995 | Pos: 2363908667
2026-03-05 14:58:54 | SAÍDA    | HBSA3  | SELL | Vol:    4300 | Price:   4.16 | P&L:  +344.00 R$ (+1.89%) | Motivo: Take Profit | DealId: 1727726594 | Pos: 2364494921
2026-03-05 16:46:03 | SAÍDA    | CASH3  | SELL | Vol:    5200 | Price:   3.45 | P&L:  +624.00 R$ (+3.36%) | Motivo: Fechamento | DealId: 1727925637 | Pos: 2363909523
2026-03-05 16:46:03 | SAÍDA    | RECV3  | BUY  | Vol:    1300 | Price:  12.68 | P&L:   +65.00 R$ (+0.40%) | Motivo: Fechamento | DealId: 1727925643 | Pos: 2363909775
2026-03-05 16:46:03 | SAÍDA    | COGN3  | SELL | Vol:    5700 | Price:   3.20 | P&L:  +114.00 R$ (+0.62%) | Motivo: Fechamento | DealId: 1727925644 | Pos: 2363909890
2026-03-05 16:46:03 | SAÍDA    | MGLU3  | SELL | Vol:    1900 | Price:   9.23 | P&L:  +152.00 R$ (+0.86%) | Motivo: Fechamento | DealId: 1727925646 | Pos: 2364116861
2026-03-05 16:46:03 | SAÍDA    | VAMO3  | SELL | Vol:    4300 | Price:   4.28 | P&L:  +129.00 R$ (+0.70%) | Motivo: Fechamento | DealId: 1727925649 | Pos: 2364172950
2026-03-05 16:46:03 | SAÍDA    | TRIS3  | SELL | Vol:    2300 | Price:   6.95 | P&L:  +138.00 R$ (+0.86%) | Motivo: Fechamento | DealId: 1727925651 | Pos: 2364495067
2026-03-05 16:46:03 | SAÍDA    | RAPT4  | SELL | Vol:    2900 | Price:   6.27 | P&L:   -58.00 R$ (-0.32%) | Motivo: Fechamento | DealId: 1727925654 | Pos: 2364499725
2026-03-05 16:46:03 | SAÍDA    | CSED3  | SELL | Vol:    2600 | Price:   6.25 | P&L:  +156.00 R$ (+0.95%) | Motivo: Fechamento | DealId: 1727925656 | Pos: 2364509883
2026-03-05 16:46:03 | SAÍDA    | LAVV3  | SELL | Vol:    1000 | Price:  17.68 | P&L:  +110.00 R$ (+0.62%) | Motivo: Fechamento | DealId: 1727925657 | Pos: 2364672988
2026-03-05 16:46:03 | SAÍDA    | CMIN3  | SELL | Vol:    3500 | Price:   5.18 | P&L:   +70.00 R$ (+0.38%) | Motivo: Fechamento | DealId: 1727925659 | Pos: 2364763762
